x_m,z_m
2.7155285461203205,0.0
2.7325005995335725,0.0
2.7494726529468245,0.0
2.7664447063600766,0.0
2.7834167597733286,0.0
2.8003888131865806,0.0
2.8173608665998326,0.0
2.8343329200130847,0.0
2.8513049734263367,0.0
2.8682770268395883,0.0
2.8852490802528403,0.0
2.9022211336660924,0.0
2.9191931870793444,0.0
2.9361652404925964,0.0
2.9531372939058484,0.0
2.9701093473191005,0.0
2.9870814007323525,0.0
3.0040534541456045,0.0
3.0210255075588566,0.0
3.0379975609721086,0.0
3.0549696143853606,0.0
3.0719416677986127,0.0
3.0889137212118647,0.0
3.1058857746251167,0.0
3.1228578280383683,0.0
3.1398298814516203,0.0
3.1568019348648724,0.0
3.1737739882781244,0.0
3.1907460416913764,0.0
3.2077180951046285,0.0
3.2246901485178805,0.0
3.2416622019311325,0.0
3.2586342553443846,0.0
3.2756063087576366,0.0
3.2925783621708886,0.0
3.3095504155841406,0.0
3.3265224689973927,0.0
3.3434945224106447,0.0
3.3604665758238967,0.0
3.3774386292371488,0.0
3.394410682650401,0.0
3.4113827360636524,0.0
3.4283547894769044,0.0
3.4453268428901564,0.0
3.4622988963034085,0.0
3.4792709497166605,0.0
3.4962430031299125,0.0
3.5132150565431646,0.0
3.5301871099564166,0.0
3.5471591633696686,0.0
3.5641312167829207,0.0
3.5811032701961727,0.0
3.5980753236094247,0.0
3.6,-0.015047377022676481
3.6,-0.03201943043592837
3.6,-0.04899148384917908
3.6,-0.06596353726243104
3.6,-0.08293559067568214
3.6,-0.09990764408893477
3.6,-0.1168796975021884
3.6,-0.13385175091543816
3.6,-0.15082380432868805
3.6,-0.16779585774193792
3.6,-0.1847679111551898
3.6,-0.20173996456844553
3.6,-0.2187120179817003
3.6,-0.23568407139495437
3.6,-0.2526561248082089
3.6,-0.2696281782214639
3.6,-0.2866002316347167
3.6,-0.30357228504796596
3.6,-0.3205443384612199
3.6,-0.33751639187447235
3.6,-0.35448844528772455
3.6,-0.3714604987009775
3.6,-0.38843255211422933
3.6,-0.40540460552748103
3.6,-0.42237665894073284
3.6,-0.4393487123539921
3.6,-0.45632076576724206
3.6,-0.47329281918049687
3.6,-0.4902648725937565
3.6,-0.507236926007003
3.6,-0.524208979420255
3.6,-0.5411810328335095
3.6,-0.5581530862467681
3.6,-0.5751251396600215
3.6,-0.5920971930732752
3.6,-0.609069246486531
3.6,-0.6260412998997816
3.6,-0.6430133533130357
3.6,-0.6599854067262958
3.6,-0.6769574601395483
3.6,-0.6939295135528003
3.6,-0.7109015669660572
3.6,-0.7278736203793134
3.6,-0.7448456737925611
3.6,-0.7618177272058059
